year,month,revenue,quantity,unit_price,discount,item_number,customer_id,document_id,index,revenue_skew,quantity_skew,unit_price_skew,discount_skew,revenue_entropy,quantity_entropy,unit_price_entropy,discount_entropy,customer_id_entropy,item_number_entropy,document_id_entropy,high_priced,high_quantity,recurrent_purchase,one_time_purchase,chance_recurrent,high_lift
2005,4,288913.3000000000,38932.0,24.23694537972316,1.416178445566779,1197,501,1105,1,22.93173167324636,23.04031772744633,4.129686741655931,6.766891796993644,9.328390400040302,3.144328808495931,8.138984247755875,0.4328459812247325,8.147280952265236,9.510303033960819,9.414115494927493,269,466,28,12,0.7468558948681993,45
2005,5,278004.6900000000,35989.0,26.22819860973188,1.994798405163853,1164,507,1074,2,20.757948761852855,9.822943667239523,4.107278980343986,5.568313621787234,9.38154918578224,3.188068786851772,8.24945283887094,0.47561383550288316,8.148673067195109,9.482551754803968,9.398085892042278,274,453,28,8,0.7462868532503408,55
2005,6,345950.4500000000,39746.0,27.367725888324873,1.700302861252115,1249,517,1250,3,12.710572772024909,14.849340500980867,4.441403787138116,9.01130304302049,9.52499171320804,3.205285642021412,8.429147982813184,0.4265648115382541,8.173361834723744,9.503713356769213,9.577982834641183,374,488,23,4,0.7494811426509296,67
2005,7,299932.7600000000,35993.0,27.524009324009324,1.9857517074592073,1174,461,1034,4,18.035694661435926,23.32870702843723,4.707992175581528,8.765745713258967,9.385130468944162,3.1767966690759897,8.245865933467192,0.3901716586631013,8.09762410676613,9.491032696788226,9.342909092277218,347,446,32,16,0.7644663175987638,53
2005,8,325382.0200000000,38318.0,28.052880944116627,1.0001041166261715,1222,526,1312,5,12.639025197222077,11.949638412586653,4.258728060924283,10.820385105290043,9.463350993778622,3.140436103813517,8.303186933185277,0.3944510209419098,8.20089102186917,9.489272546151767,9.629078192579401,405,487,35,17,0.7446856266117411,59
2005,9,329550.6600000000,40558.0,26.84790232321519,25.99137525182296,1204,527,1161,6,13.442280285874437,20.098009290198586,4.076483005011836,6.541396829599955,9.49623332924175,3.131933524585135,8.284484350553543,0.6211739206643396,8.18942063164275,9.499100944552696,9.468504929279655,381,511,26,18,0.740970304803814,70
2005,10,321488.5100000000,38636.0,28.69449725776965,2.5328116819012796,1217,554,1216,7,12.321372239640178,18.993361646172687,3.999095176346604,9.1293107563051,9.502748649824802,3.087174639776541,8.315289611059212,0.45405544425343003,8.262707812948317,9.494683651268417,9.568072615974025,358,457,20,25,0.7497901828997233,81
2005,11,331427.3700000000,39143.0,26.680637362637363,1.757639885038039,1234,564,1212,8,20.495020911294414,13.00382710347363,4.351364104181111,8.630301363124403,9.499607586670207,3.1971550914195035,8.266986981129564,0.37613175711450364,8.2535824661744,9.537199341404193,9.511251860658408,368,505,24,12,0.7404295463172079,58
2005,12,293101.1900000000,33945.0,28.947105715924298,1.5434027834066144,1210,533,1190,9,23.792709607021344,14.443010551224491,4.0890025852356,11.334277066896368,9.471286545182128,3.062494286759343,8.340817672419096,0.3217833435095167,8.280007937196377,9.569116739556259,9.569734768793742,375,375,21,13,0.7405954400530476,54
2006,1,351930.5500000000,46135.0,26.77734567901235,2.8663039814814812,1292,553,1324,10,10.89178219402026,19.396631641626595,4.186381930185197,7.8938070789627375,9.437525563079063,3.1893830729838446,8.291775266555723,0.4134646839034965,8.088681429986492,9.562509843863696,9.578750386035647,424,581,34,14,0.7583355249275237,57
2006,2,347634.6000000000,78773.0,27.6863893361961,3.684664469493648,1203,548,1239,11,13.611007323613789,74.01790241457549,4.437932690609047,7.305534655403486,9.514561096309537,3.223432953139063,8.355755589769675,0.4650774328107501,8.241263741127039,9.516064107260407,9.590802552076656,352,512,22,17,0.7504290921480318,54
2006,3,404730.3300000000,46624.0,29.45873271889401,2.1727480721966206,1261,583,1486,12,29.011564509083474,16.712698305970054,4.186750385622867,7.63240411593107,9.544735242178938,3.154661694423486,8.322573614864748,0.4405314711602965,8.347635949601626,9.559566332062712,9.893315058164006,461,564,28,27,0.7476109412313675,57
2006,4,305185.7000000000,36243.0,26.74793388429752,2.452913688256775,1206,498,1107,13,16.155453000569487,8.50021102204105,4.103646863673253,7.938987417201523,9.44253342575049,3.195426886565253,8.256189310911552,0.441429337324067,8.126698795796292,9.482045310149902,9.404588467339469,326,457,14,8,0.7532618080343583,49
2006,5,348803.6500000000,40599.0,26.70883794969755,1.8459025756128622,1238,573,1310,14,8.966203012839186,11.31404708525068,4.001963305340924,11.052850174574088,9.489355500785816,3.199710928463941,8.259226356369643,0.5003962056168858,8.236301664457496,9.51049158010423,9.55706890488604,401,546,20,13,0.7662343920704936,69
2006,6,309124.6300000000,40874.0,28.761858373922816,1.6814648969651556,1177,515,1202,15,8.18402223209611,25.827883655269225,4.4295992136704925,7.27936428832597,9.45570723706743,3.1815679241904804,8.254229751773076,0.44176015994464357,8.126862668485899,9.449740818362221,9.541628957150126,379,488,27,12,0.7536339341627653,38
